id,name,population
ARG,Argentina,84.9
ARM,Armenia  ,87.5
AUS,Australia,86.2
AUT,Austria  ,89
BIH,Bosnia an,86.5
BRA,Brazil   ,84
BGR,Bulgaria ,87.5
CAN,Canada   ,87.9
CHL,Chile    ,85.2
HRV,Croatia  ,85.1
CYP,Cyprus   ,87.5
CZE,Czech Rep,87.5
EGY,Egypt    ,84
GBR,England  ,92
FRA,France   ,87.8
GEO,Georgia  ,87.1
DEU,Germany  ,87.8
GRC,Greece   ,86.7
HUN,Hungary  ,87.3
IND,India    ,89.6
ISR,Israel   ,87.3
ITA,Italy    ,87.1
LBN,Lebanon  ,86.4
MKD,Macedonia,87
MEX,Mexico   ,83.2
MDA,Moldova  ,86.2
MAR,Morocco  ,88
NZL,New Zeala,87
PER,Peru     ,82.7
PRT,Portugal ,86.8
ROU,Romania  ,85.9
SRB,Serbia   ,86
SVN,Slovenia ,87.7
ZAF,South Afr,87
ESP,Spain    ,85.4
TUR,Turkey   ,87.1
UKR,Ukraine  ,84.1
URY,Uruguay  ,84.6
USA,US       ,86
