taster_name,country,avg_point
Michael Schachner ,Argentina,86
Mike DeSimone     ,Armenia  ,87
Christina Pickard ,Australia,93
Joe Czerwinski    ,Australia,88
Anne Krebiehl MW ,Austria  ,90
Roger Voss        ,Austria  ,89
Anna Lee C. Iijima,Bosnia an,85
Jeff Jenssen      ,Bosnia an,88
Michael Schachner ,Brazil   ,84
Anna Lee C. Iijima,Bulgaria ,85
Jeff Jenssen      ,Bulgaria ,88
Mike DeSimone     ,Bulgaria ,91
Susan Kostrzewa   ,Bulgaria ,84
Anna Lee C. Iijima,Canada   ,88
Joe Czerwinski    ,Canada   ,87
Lauren Buzzeo     ,Canada   ,89
Paul Gregutt      ,Canada   ,89
Sean P. Sullivan  ,Canada   ,90
Susan Kostrzewa   ,Canada   ,86
Joe Czerwinski    ,Chile    ,85
Matt Kettmann     ,Chile    ,89
Michael Schachner ,Chile    ,86
Mike DeSimone     ,China    ,89
Anna Lee C. Iijima,Croatia  ,86
Jeff Jenssen      ,Croatia  ,88
Susan Kostrzewa   ,Croatia  ,83
Susan Kostrzewa   ,Cyprus   ,87
Anna Lee C. Iijima,Czech Rep,85
Jeff Jenssen      ,Czech Rep,88
Susan Kostrzewa   ,Egypt    ,84
Anne Krebiehl MW ,England  ,91
Anne Krebiehl MW ,France   ,90
Joe Czerwinski    ,France   ,88
Lauren Buzzeo     ,France   ,87
Michael Schachner ,France   ,82
Paul Gregutt      ,France   ,89
Roger Voss        ,France   ,88
Anna Lee C. Iijima,Georgia  ,86
Mike DeSimone     ,Georgia  ,88
Anna Lee C. Iijima,Germany  ,89
Joe Czerwinski    ,Germany  ,89
Jeff Jenssen      ,Greece   ,87
Joe Czerwinski    ,Greece   ,84
Roger Voss        ,Greece   ,88
Susan Kostrzewa   ,Greece   ,87
Anna Lee C. Iijima,Hungary  ,87
Jeff Jenssen      ,Hungary  ,90
Susan Kostrzewa   ,Hungary  ,87
Mike DeSimone     ,India    ,90
Lauren Buzzeo     ,Israel   ,87
Mike DeSimone     ,Israel   ,89
Susan Kostrzewa   ,Israel   ,84
Joe Czerwinski    ,Italy    ,86
Kerin O’Keefe   ,Italy    ,88
Michael Schachner ,Italy    ,89
Paul Gregutt      ,Italy    ,87
Roger Voss        ,Italy    ,88
Anna Lee C. Iijima,Lebanon  ,86
Mike DeSimone     ,Lebanon  ,89
Susan Kostrzewa   ,Lebanon  ,83
Jeff Jenssen      ,Luxembour,88
Anna Lee C. Iijima,Macedonia,84
Jeff Jenssen      ,Macedonia,88
Susan Kostrzewa   ,Macedonia,86
Michael Schachner ,Mexico   ,85
Anna Lee C. Iijima,Moldova  ,85
Jeff Jenssen      ,Moldova  ,87
Susan Kostrzewa   ,Moldova  ,83
Anna Lee C. Iijima,Morocco  ,86
Mike DeSimone     ,Morocco  ,88
Joe Czerwinski    ,New Zeala,88
Michael Schachner ,Peru     ,83
Joe Czerwinski    ,Portugal ,85
Lauren Buzzeo     ,Portugal ,84
Michael Schachner ,Portugal ,87
Roger Voss        ,Portugal ,88
Anna Lee C. Iijima,Romania  ,86
Jeff Jenssen      ,Romania  ,86
Susan Kostrzewa   ,Romania  ,85
Jeff Jenssen      ,Serbia   ,87
Anna Lee C. Iijima,Slovakia ,87
Anna Lee C. Iijima,Slovenia ,87
Jeff Jenssen      ,Slovenia ,88
Lauren Buzzeo     ,South Afr,88
Roger Voss        ,South Afr,89
Susan Kostrzewa   ,South Afr,87
Joe Czerwinski    ,Spain    ,85
Lauren Buzzeo     ,Spain    ,83
Michael Schachner ,Spain    ,87
Paul Gregutt      ,Spain    ,85
Jeff Jenssen      ,Switzerla,89
Susan Kostrzewa   ,Switzerla,83
Anna Lee C. Iijima,Turkey   ,87
Mike DeSimone     ,Turkey   ,88
Anna Lee C. Iijima,Ukraine  ,83
Jeff Jenssen      ,Ukraine  ,84
Michael Schachner ,Uruguay  ,86
Alexander Peartree,US       ,85
Anna Lee C. Iijima,US       ,87
Carrie Dykes      ,US       ,86
Christina Pickard ,US       ,86
Fiona Adams       ,US       ,86
Jim Gordon        ,US       ,88
Joe Czerwinski    ,US       ,85
Lauren Buzzeo     ,US       ,85
Matt Kettmann     ,US       ,90
Michael Schachner ,US       ,86
Paul Gregutt      ,US       ,89
Roger Voss        ,US       ,89
Sean P. Sullivan  ,US       ,88
Susan Kostrzewa   ,US       ,84
Virginie Boone    ,US       ,89
