winery,avgs_core,avgscore2
Araujo                         ,98,98
Gandona                        ,97,97
J.L. Chave                     ,97,97
Ovid                           ,97,97
Salon                          ,96.8,96.8
Tenuta dell'Ornellaia          ,96.7,96.7
Château Pétrus                 ,96.66666667,96.7
Barons de Rothschild           ,96,96
Bryant Family                  ,96,96
Cardinale                      ,96,96
Celani Family Vineyards        ,96,96
Colgin                         ,96,96
D'Alfonso-Curran               ,96,96
Domaine des Lambrays           ,96,96
Hors Categorie                 ,96,96
Lewis                          ,96,96
Patrimony                      ,96,96
Semper                         ,96,96
Château Climens                ,95.75,95.8
Château d'Yquem                ,95.66666667,95.7
Château Léoville Barton        ,95.66666667,95.7
Au Sommet                      ,95.5,95.5
Crown Point                    ,95.5,95.5
Dolce                          ,95.5,95.5
Masseto                        ,95.5,95.5
Vieux Château Certan           ,95.4,95.4
Arkenstone                     ,95.33333333,95.3
Wayfarer                       ,95.33333333,95.3
Yao Ming                       ,95.33333333,95.3
Mascarello Giuseppe e Figlio   ,95.2,95.2
Casanova di Neri               ,95.16666667,95.2
Horsepower                     ,95.09090909,95.1
Amuse Bouche                   ,95,95
Campo Eliseo                   ,95,95
Cerbaiona                      ,95,95
Château Pontet-Canet           ,95,95
Château Trotanoy               ,95,95
Copain Wines                   ,95,95
Dalla Valle                    ,95,95
Domaine Anne Gros              ,95,95
Domaine Jean Grivot            ,95,95
Domaine Michel Lafarge         ,95,95
Eugenio Bocchino               ,95,95
Harlan Estate                  ,95,95
Nicolaysen Family Vineyards    ,95,95
Scaggs Vineyard                ,95,95
Schloss Schönborn              ,95,95
Sugrue Pierre Ltd.             ,95,95
Gaja                           ,94.89473684,94.9
Château Haut-Brion             ,94.7,94.7
Château Léoville Poyferré      ,94.54545455,94.5
Aleksander                     ,94.5,94.5
Château de la Tour             ,94.5,94.5
Château Latour                 ,94.5,94.5
Clos de Tart                   ,94.5,94.5
Creō                           ,94.5,94.5
Ferrando                       ,94.5,94.5
Giacomo Conterno               ,94.5,94.5
Domaine Leflaive               ,94.34615385,94.3
Devil Proof                    ,94.33333333,94.3
Domaine Huët                   ,94.27272727,94.3
Château Palmer                 ,94.26315789,94.3
Château Lynch-Bages            ,94.18181818,94.2
Château Ausone                 ,94.16666667,94.2
Château Bélair-Monange         ,94.125,94.1
Château la Fleur-Pétrus        ,94.125,94.1
Fattoria Petrolo               ,94.125,94.1
Château Ducru Beaucaillou      ,94.11111111,94.1
Franz Hirtzberger              ,94.0952381,94.1
Château La Mission Haut-Brion  ,94.07692308,94.1
Abraham Perold                 ,94,94
Aether Wine Company            ,94,94
Aloft                          ,94,94
Andrus                         ,94,94
Bella Union                    ,94,94
Cargasacchi                    ,94,94
Casa Piena                     ,94,94
Chanamé                        ,94,94
Château Calon                  ,94,94
Château de la Font du Loup     ,94,94
Château de Vaudieu             ,94,94
Château Destieux               ,94,94
Château Figeac                 ,94,94
Château Rauzan-Ségla           ,94,94
Continuum                      ,94,94
Corte Sant'Alda                ,94,94
Domaine de la Janasse          ,94,94
Domaine Isabel Ferrando        ,94,94
Domaine Marc Roy               ,94,94
Domaine Nicolas Rossignol      ,94,94
Domaine Santa Duc              ,94,94
Domaine Tempier                ,94,94
Dr. Loosen & J. Christopher    ,94,94
G.A. Rossi di Medelana         ,94,94
Glaetzer                       ,94,94
Harbison Wines                 ,94,94
Harrison                       ,94,94
Hecho por Ruben                ,94,94
