taster_name,winery,avg
Jim Gordon        ,Kendall-Jackson                ,89
Jim Gordon        ,V. Sattui                      ,88
Jim Gordon        ,Williams Selyem                ,93
Joe Czerwinski    ,Concha y Toro                  ,85
Joe Czerwinski    ,Santa Ema                      ,85
Joe Czerwinski    ,Siduri                         ,90
Kerin O’Keefe   ,Feudi di San Gregorio          ,90
Matt Kettmann     ,Fess Parker                    ,90
Matt Kettmann     ,Foxen                          ,92
Matt Kettmann     ,Gary Farrell                   ,92
Matt Kettmann     ,Kendall-Jackson                ,88
Matt Kettmann     ,Robert Mondavi                 ,87
Matt Kettmann     ,Siduri                         ,92
Matt Kettmann     ,Testarossa                     ,91
Matt Kettmann     ,Williams Selyem                ,91
Michael Schachner ,Chehalem                       ,90
Michael Schachner ,Concha y Toro                  ,87
Michael Schachner ,Georges Duboeuf                ,80
Michael Schachner ,Montes                         ,87
Michael Schachner ,Santa Ema                      ,86
Michael Schachner ,Trapiche                       ,87
Michael Schachner ,Undurraga                      ,87
Paul Gregutt      ,Chateau Ste. Michelle          ,88
Paul Gregutt      ,Chehalem                       ,89
Paul Gregutt      ,Columbia Crest                 ,87
Paul Gregutt      ,Louis Latour                   ,89
Paul Gregutt      ,Maryhill                       ,85
Paul Gregutt      ,Siduri                         ,88
Roger Voss        ,Albert Bichot                  ,90
Roger Voss        ,Casa Santos Lima               ,87
Roger Voss        ,Chanson Père et Fils          ,90
Roger Voss        ,DFJ Vinhos                     ,86
Roger Voss        ,Georges Duboeuf                ,87
Roger Voss        ,Jean-Luc and Paul Aegerter     ,88
Roger Voss        ,Louis Jadot                    ,91
Roger Voss        ,Louis Latour                   ,90
Roger Voss        ,Wines & Winemakers             ,87
Sean P. Sullivan  ,Chateau Ste. Michelle          ,88
Sean P. Sullivan  ,Columbia Crest                 ,88
Sean P. Sullivan  ,Maryhill                       ,86
Virginie Boone    ,Gary Farrell                   ,92
Virginie Boone    ,Iron Horse                     ,91
Virginie Boone    ,Kendall-Jackson                ,88
Virginie Boone    ,Lynmar                         ,93
Virginie Boone    ,Robert Mondavi                 ,89
Virginie Boone    ,Siduri                         ,91
Virginie Boone    ,Testarossa                     ,88
Virginie Boone    ,V. Sattui                      ,88
Virginie Boone    ,Williams Selyem                ,93
