,winery,avgs_core,avgscore2,country,continent
0,Araujo,98,98,US,North America
1,Gandona,97,97,US,North America
2,J.L. Chave,97,97,France,Europe
3,Ovid,97,97,US,North America
4,Salon,96.8,96.8,France,Europe
5,Tenuta dell'Ornellaia,96.7,96.7,Italy,Europe
6,Château Pétrus,96.66666667,96.7,France,Europe
7,Barons de Rothschild,96,96,France,Europe
8,Bryant Family,96,96,US,North America
9,Cardinale,96,96,US,North America
10,Celani Family Vineyards,96,96,US,North America
11,Colgin,96,96,US,North America
12,D'Alfonso-Curran,96,96,US,North America
13,Domaine des Lambrays,96,96,France,Europe
14,Hors Categorie,96,96,US,North America
15,Lewis,96,96,US,North America
16,Patrimony,96,96,US,North America
17,Semper,96,96,US,North America
18,Château Climens,95.75,95.8,France,Europe
19,Château d'Yquem,95.66666667,95.7,France,Europe
20,Château Léoville Barton,95.66666667,95.7,France,Europe
21,Au Sommet,95.5,95.5,US,North America
22,Crown Point,95.5,95.5,US,North America
23,Dolce,95.5,95.5,US,North America
24,Masseto,95.5,95.5,Italy,Europe
25,Vieux Château Certan,95.4,95.4,France,Europe
26,Arkenstone,95.33333333,95.3,US,North America
27,Wayfarer,95.33333333,95.3,US,North America
28,Yao Ming,95.33333333,95.3,US,North America
29,Mascarello Giuseppe e Figlio,95.2,95.2,Italy,Europe
30,Casanova di Neri,95.16666667,95.2,Italy,Europe
31,Horsepower,95.09090909,95.1,US,North America
32,Amuse Bouche,95,95,US,North America
33,Campo Eliseo,95,95,Spain,Europe
34,Cerbaiona,95,95,Italy,Europe
35,Château Pontet-Canet,95,95,France,Europe
36,Château Trotanoy,95,95,France,Europe
37,Copain Wines,95,95,US,North America
38,Dalla Valle,95,95,US,North America
39,Domaine Anne Gros,95,95,France,Europe
40,Domaine Jean Grivot,95,95,France,Europe
41,Domaine Michel Lafarge,95,95,France,Europe
42,Eugenio Bocchino,95,95,Italy,Europe
43,Harlan Estate,95,95,US,North America
44,Nicolaysen Family Vineyards,95,95,US,North America
45,Scaggs Vineyard,95,95,US,North America
46,Schloss Schönborn,95,95,Germany,Europe
47,Sugrue Pierre Ltd.,95,95,England,Europe
48,Gaja,94.89473684,94.9,Italy,Europe
49,Château Haut-Brion,94.7,94.7,France,Europe
50,Château Léoville Poyferré,94.54545455,94.5,France,Europe
51,Aleksander,94.5,94.5,US,North America
52,Château de la Tour,94.5,94.5,France,Europe
53,Château Latour,94.5,94.5,France,Europe
54,Clos de Tart,94.5,94.5,France,Europe
55,Creō,94.5,94.5,US,North America
56,Ferrando,94.5,94.5,Italy,Europe
57,Giacomo Conterno,94.5,94.5,Italy,Europe
58,Domaine Leflaive,94.34615385,94.3,France,Europe
59,Devil Proof,94.33333333,94.3,US,North America
60,Domaine Huët,94.27272727,94.3,France,Europe
61,Château Palmer,94.26315789,94.3,France,Europe
62,Château Lynch-Bages,94.18181818,94.2,France,Europe
63,Château Ausone,94.16666667,94.2,France,Europe
64,Château Bélair-Monange,94.125,94.1,France,Europe
65,Château la Fleur-Pétrus,94.125,94.1,France,Europe
66,Fattoria Petrolo,94.125,94.1,Italy,Europe
67,Château Ducru Beaucaillou,94.11111111,94.1,France,Europe
68,Franz Hirtzberger,94.0952381,94.1,Austria,Europe
69,Château La Mission Haut-Brion,94.07692308,94.1,France,Europe
70,Abraham Perold,94,94,South Africa,Africa
71,Aether Wine Company,94,94,US,North America
72,Aloft,94,94,US,North America
73,Andrus,94,94,US,North America
74,Bella Union,94,94,US,North America
75,Cargasacchi,94,94,US,North America
76,Casa Piena,94,94,US,North America
77,Chanamé,94,94,US,North America
78,Château Calon,94,94,France,Europe
79,Château de la Font du Loup,94,94,France,Europe
80,Château de Vaudieu,94,94,France,Europe
81,Château Destieux,94,94,France,Europe
82,Château Figeac,94,94,France,Europe
83,Château Rauzan-Ségla,94,94,France,Europe
84,Continuum,94,94,US,North America
85,Corte Sant'Alda,94,94,Italy,Europe
86,Domaine de la Janasse,94,94,France,Europe
87,Domaine Isabel Ferrando,94,94,France,Europe
88,Domaine Marc Roy,94,94,France,Europe
89,Domaine Nicolas Rossignol,94,94,France,Europe
90,Domaine Santa Duc,94,94,France,Europe
91,Domaine Tempier,94,94,France,Europe
92,Dr. Loosen & J. Christopher,94,94,US,North America
93,G.A. Rossi di Medelana,94,94,Italy,Europe
94,Glaetzer,94,94,Australia,Oceania
95,Harbison Wines,94,94,US,North America
96,Harrison,94,94,US,North America
97,Hecho por Ruben,94,94,US,North America
